,Location Subdivision,Offence Subdivision,Incidents Recorded
0,11 Dwelling - private,A20 Assault and related offences,24214.0
1,11 Dwelling - private,A50 Robbery,237.0
2,11 Dwelling - private,"A70 Stalking, harassment and threatening behaviour",6048.0
3,11 Dwelling - private,A80 Dangerous and negligent acts endangering people,808.0
4,11 Dwelling - private,B10 Arson,441.0
5,11 Dwelling - private,B20 Property damage,12317.0
6,11 Dwelling - private,B30 Burglary/Break and enter,13379.0
7,11 Dwelling - private,B40 Theft,15338.0
8,11 Dwelling - private,B50 Deception,5705.0
9,11 Dwelling - private,C10 Drug dealing and trafficking,1536.0
10,11 Dwelling - private,C20 Cultivate or manufacture drugs,939.0
11,11 Dwelling - private,C30 Drug use and possession,2264.0
12,11 Dwelling - private,C90 Other drug offences,19.0
13,11 Dwelling - private,D10 Weapons and explosives offences,2321.0
14,11 Dwelling - private,D20 Disorderly and offensive conduct,308.0
15,11 Dwelling - private,D30 Public nuisance offences,888.0
16,11 Dwelling - private,D40 Public security offences,15.0
17,11 Dwelling - private,E10 Justice procedures,1115.0
18,11 Dwelling - private,E20 Breaches of orders,23734.0
19,11 Dwelling - private,F10 Regulatory driving offences,1.0
20,11 Dwelling - private,F20 Transport regulation offences,4.0
21,11 Dwelling - private,F30 Other government regulatory offences,48.0
22,11 Dwelling - private,F90 Miscellaneous offences,4187.0
23,11 Dwelling - private,Other crimes against the person,5975.0
24,12 Dwelling  - non-private,A20 Assault and related offences,970.0
25,12 Dwelling  - non-private,A50 Robbery,21.0
26,12 Dwelling  - non-private,"A70 Stalking, harassment and threatening behaviour",105.0
27,12 Dwelling  - non-private,A80 Dangerous and negligent acts endangering people,42.0
28,12 Dwelling  - non-private,B10 Arson,29.0
29,12 Dwelling  - non-private,B20 Property damage,581.0
30,12 Dwelling  - non-private,B30 Burglary/Break and enter,633.0
31,12 Dwelling  - non-private,B40 Theft,811.0
32,12 Dwelling  - non-private,B50 Deception,206.0
33,12 Dwelling  - non-private,C10 Drug dealing and trafficking,56.0
34,12 Dwelling  - non-private,C20 Cultivate or manufacture drugs,14.0
35,12 Dwelling  - non-private,C30 Drug use and possession,177.0
36,12 Dwelling  - non-private,D10 Weapons and explosives offences,108.0
37,12 Dwelling  - non-private,D20 Disorderly and offensive conduct,51.0
38,12 Dwelling  - non-private,D30 Public nuisance offences,59.0
39,12 Dwelling  - non-private,E10 Justice procedures,86.0
40,12 Dwelling  - non-private,E20 Breaches of orders,545.0
41,12 Dwelling  - non-private,F20 Transport regulation offences,1.0
42,12 Dwelling  - non-private,F30 Other government regulatory offences,1.0
43,12 Dwelling  - non-private,F90 Miscellaneous offences,208.0
44,12 Dwelling  - non-private,Other crimes against the person,308.0
45,13 Grounds/surrounding land,A20 Assault and related offences,1705.0
46,13 Grounds/surrounding land,A50 Robbery,75.0
47,13 Grounds/surrounding land,"A70 Stalking, harassment and threatening behaviour",233.0
48,13 Grounds/surrounding land,A80 Dangerous and negligent acts endangering people,157.0
49,13 Grounds/surrounding land,B10 Arson,273.0
50,13 Grounds/surrounding land,B20 Property damage,4532.0
51,13 Grounds/surrounding land,B30 Burglary/Break and enter,5360.0
52,13 Grounds/surrounding land,B40 Theft,26446.0
53,13 Grounds/surrounding land,B50 Deception,384.0
54,13 Grounds/surrounding land,C10 Drug dealing and trafficking,88.0
55,13 Grounds/surrounding land,C20 Cultivate or manufacture drugs,147.0
56,13 Grounds/surrounding land,C30 Drug use and possession,289.0
57,13 Grounds/surrounding land,C90 Other drug offences,2.0
58,13 Grounds/surrounding land,D10 Weapons and explosives offences,277.0
59,13 Grounds/surrounding land,D20 Disorderly and offensive conduct,106.0
60,13 Grounds/surrounding land,D30 Public nuisance offences,217.0
61,13 Grounds/surrounding land,E10 Justice procedures,160.0
62,13 Grounds/surrounding land,E20 Breaches of orders,1564.0
63,13 Grounds/surrounding land,F20 Transport regulation offences,1.0
64,13 Grounds/surrounding land,F30 Other government regulatory offences,4.0
65,13 Grounds/surrounding land,F90 Miscellaneous offences,259.0
66,13 Grounds/surrounding land,Other crimes against the person,215.0
67,21 Education,A20 Assault and related offences,456.0
68,21 Education,A50 Robbery,22.0
69,21 Education,"A70 Stalking, harassment and threatening behaviour",62.0
70,21 Education,A80 Dangerous and negligent acts endangering people,25.0
71,21 Education,B10 Arson,38.0
72,21 Education,B20 Property damage,818.0
73,21 Education,B30 Burglary/Break and enter,701.0
74,21 Education,B40 Theft,777.0
75,21 Education,B50 Deception,32.0
76,21 Education,C10 Drug dealing and trafficking,7.0
77,21 Education,C20 Cultivate or manufacture drugs,3.0
78,21 Education,C30 Drug use and possession,69.0
79,21 Education,D10 Weapons and explosives offences,39.0
80,21 Education,D20 Disorderly and offensive conduct,39.0
81,21 Education,D30 Public nuisance offences,166.0
82,21 Education,D40 Public security offences,1.0
83,21 Education,E10 Justice procedures,25.0
84,21 Education,E20 Breaches of orders,245.0
85,21 Education,F20 Transport regulation offences,2.0
86,21 Education,F30 Other government regulatory offences,2.0
87,21 Education,F90 Miscellaneous offences,69.0
88,21 Education,Other crimes against the person,318.0
89,22 Health,A20 Assault and related offences,605.0
90,22 Health,A50 Robbery,7.0
91,22 Health,"A70 Stalking, harassment and threatening behaviour",78.0
92,22 Health,A80 Dangerous and negligent acts endangering people,18.0
93,22 Health,B10 Arson,6.0
94,22 Health,B20 Property damage,317.0
95,22 Health,B30 Burglary/Break and enter,246.0
96,22 Health,B40 Theft,632.0
97,22 Health,B50 Deception,112.0
98,22 Health,C10 Drug dealing and trafficking,10.0
99,22 Health,C20 Cultivate or manufacture drugs,2.0
100,22 Health,C30 Drug use and possession,92.0
101,22 Health,D10 Weapons and explosives offences,30.0
102,22 Health,D20 Disorderly and offensive conduct,50.0
103,22 Health,D30 Public nuisance offences,27.0
104,22 Health,E10 Justice procedures,21.0
105,22 Health,E20 Breaches of orders,210.0
106,22 Health,F30 Other government regulatory offences,2.0
107,22 Health,F90 Miscellaneous offences,9.0
108,22 Health,Other crimes against the person,145.0
109,23 Religious,A20 Assault and related offences,20.0
110,23 Religious,A50 Robbery,4.0
111,23 Religious,"A70 Stalking, harassment and threatening behaviour",6.0
112,23 Religious,B10 Arson,7.0
113,23 Religious,B20 Property damage,101.0
114,23 Religious,B30 Burglary/Break and enter,218.0
115,23 Religious,B40 Theft,104.0
116,23 Religious,B50 Deception,7.0
117,23 Religious,C30 Drug use and possession,12.0
118,23 Religious,D10 Weapons and explosives offences,4.0
119,23 Religious,D20 Disorderly and offensive conduct,5.0
120,23 Religious,D30 Public nuisance offences,7.0
121,23 Religious,E10 Justice procedures,1.0
122,23 Religious,E20 Breaches of orders,18.0
123,23 Religious,F90 Miscellaneous offences,22.0
124,23 Religious,Other crimes against the person,21.0
125,24 Public Transport,A20 Assault and related offences,1000.0
126,24 Public Transport,A50 Robbery,196.0
127,24 Public Transport,"A70 Stalking, harassment and threatening behaviour",54.0
128,24 Public Transport,A80 Dangerous and negligent acts endangering people,22.0
129,24 Public Transport,B10 Arson,17.0
130,24 Public Transport,B20 Property damage,999.0
131,24 Public Transport,B30 Burglary/Break and enter,26.0
132,24 Public Transport,B40 Theft,1637.0
133,24 Public Transport,B50 Deception,248.0
134,24 Public Transport,B60 Bribery,1.0
135,24 Public Transport,C10 Drug dealing and trafficking,29.0
136,24 Public Transport,C20 Cultivate or manufacture drugs,8.0
137,24 Public Transport,C30 Drug use and possession,469.0
138,24 Public Transport,D10 Weapons and explosives offences,404.0
139,24 Public Transport,D20 Disorderly and offensive conduct,762.0
140,24 Public Transport,D30 Public nuisance offences,46.0
141,24 Public Transport,E10 Justice procedures,113.0
142,24 Public Transport,E20 Breaches of orders,406.0
143,24 Public Transport,F20 Transport regulation offences,48.0
144,24 Public Transport,F30 Other government regulatory offences,2.0
145,24 Public Transport,F90 Miscellaneous offences,2703.0
146,24 Public Transport,Other crimes against the person,190.0
147,25 Other Transport,A20 Assault and related offences,588.0
148,25 Other Transport,A50 Robbery,66.0
149,25 Other Transport,"A70 Stalking, harassment and threatening behaviour",54.0
150,25 Other Transport,A80 Dangerous and negligent acts endangering people,93.0
151,25 Other Transport,B10 Arson,55.0
152,25 Other Transport,B20 Property damage,1097.0
153,25 Other Transport,B30 Burglary/Break and enter,160.0
154,25 Other Transport,B40 Theft,4354.0
155,25 Other Transport,B50 Deception,219.0
156,25 Other Transport,C10 Drug dealing and trafficking,119.0
157,25 Other Transport,C20 Cultivate or manufacture drugs,49.0
158,25 Other Transport,C30 Drug use and possession,1260.0
159,25 Other Transport,D10 Weapons and explosives offences,373.0
160,25 Other Transport,D20 Disorderly and offensive conduct,162.0
161,25 Other Transport,D30 Public nuisance offences,38.0
162,25 Other Transport,E10 Justice procedures,140.0
163,25 Other Transport,E20 Breaches of orders,609.0
164,25 Other Transport,F20 Transport regulation offences,21.0
165,25 Other Transport,F30 Other government regulatory offences,3.0
166,25 Other Transport,F90 Miscellaneous offences,1680.0
167,25 Other Transport,Other crimes against the person,132.0
168,26 Justice,A20 Assault and related offences,971.0
169,26 Justice,"A70 Stalking, harassment and threatening behaviour",119.0
170,26 Justice,A80 Dangerous and negligent acts endangering people,22.0
171,26 Justice,B10 Arson,24.0
172,26 Justice,B20 Property damage,311.0
173,26 Justice,B30 Burglary/Break and enter,14.0
174,26 Justice,B40 Theft,104.0
175,26 Justice,B50 Deception,64.0
176,26 Justice,B60 Bribery,1.0
177,26 Justice,C10 Drug dealing and trafficking,36.0
178,26 Justice,C20 Cultivate or manufacture drugs,8.0
179,26 Justice,C30 Drug use and possession,496.0
180,26 Justice,D10 Weapons and explosives offences,261.0
181,26 Justice,D20 Disorderly and offensive conduct,109.0
182,26 Justice,D30 Public nuisance offences,40.0
183,26 Justice,D40 Public security offences,1.0
184,26 Justice,E10 Justice procedures,795.0
185,26 Justice,E20 Breaches of orders,3920.0
186,26 Justice,F30 Other government regulatory offences,5.0
187,26 Justice,F90 Miscellaneous offences,70.0
188,26 Justice,Other crimes against the person,69.0
189,27 Open Space,A20 Assault and related offences,857.0
190,27 Open Space,A50 Robbery,210.0
191,27 Open Space,"A70 Stalking, harassment and threatening behaviour",62.0
192,27 Open Space,A80 Dangerous and negligent acts endangering people,62.0
193,27 Open Space,B10 Arson,358.0
194,27 Open Space,B20 Property damage,678.0
195,27 Open Space,B30 Burglary/Break and enter,239.0
196,27 Open Space,B40 Theft,2017.0
197,27 Open Space,B50 Deception,99.0
198,27 Open Space,C10 Drug dealing and trafficking,49.0
199,27 Open Space,C20 Cultivate or manufacture drugs,20.0
200,27 Open Space,C30 Drug use and possession,509.0
201,27 Open Space,D10 Weapons and explosives offences,226.0
202,27 Open Space,D20 Disorderly and offensive conduct,262.0
203,27 Open Space,D30 Public nuisance offences,37.0
204,27 Open Space,E10 Justice procedures,131.0
205,27 Open Space,E20 Breaches of orders,414.0
206,27 Open Space,F10 Regulatory driving offences,1.0
207,27 Open Space,F20 Transport regulation offences,19.0
208,27 Open Space,F30 Other government regulatory offences,14.0
209,27 Open Space,F90 Miscellaneous offences,1037.0
210,27 Open Space,Other crimes against the person,406.0
211,28 Street/footpath,A20 Assault and related offences,4757.0
212,28 Street/footpath,A50 Robbery,762.0
213,28 Street/footpath,"A70 Stalking, harassment and threatening behaviour",460.0
214,28 Street/footpath,A80 Dangerous and negligent acts endangering people,2367.0
215,28 Street/footpath,B10 Arson,378.0
216,28 Street/footpath,B20 Property damage,4520.0
217,28 Street/footpath,B30 Burglary/Break and enter,61.0
218,28 Street/footpath,B40 Theft,24817.0
219,28 Street/footpath,B50 Deception,1776.0
220,28 Street/footpath,C10 Drug dealing and trafficking,1058.0
221,28 Street/footpath,C20 Cultivate or manufacture drugs,337.0
222,28 Street/footpath,C30 Drug use and possession,6004.0
223,28 Street/footpath,D10 Weapons and explosives offences,3819.0
224,28 Street/footpath,D20 Disorderly and offensive conduct,3938.0
225,28 Street/footpath,D30 Public nuisance offences,86.0
226,28 Street/footpath,D40 Public security offences,1.0
227,28 Street/footpath,E10 Justice procedures,5266.0
228,28 Street/footpath,E20 Breaches of orders,5278.0
229,28 Street/footpath,F10 Regulatory driving offences,5.0
230,28 Street/footpath,F20 Transport regulation offences,19.0
231,28 Street/footpath,F30 Other government regulatory offences,31.0
232,28 Street/footpath,F90 Miscellaneous offences,23307.0
233,28 Street/footpath,Other crimes against the person,494.0
234,29 Other community location,A20 Assault and related offences,47.0
235,29 Other community location,A50 Robbery,6.0
236,29 Other community location,"A70 Stalking, harassment and threatening behaviour",11.0
237,29 Other community location,A80 Dangerous and negligent acts endangering people,5.0
238,29 Other community location,B10 Arson,8.0
239,29 Other community location,B20 Property damage,136.0
240,29 Other community location,B30 Burglary/Break and enter,113.0
241,29 Other community location,B40 Theft,187.0
242,29 Other community location,B50 Deception,21.0
243,29 Other community location,C10 Drug dealing and trafficking,6.0
244,29 Other community location,C20 Cultivate or manufacture drugs,2.0
245,29 Other community location,C30 Drug use and possession,25.0
246,29 Other community location,D10 Weapons and explosives offences,20.0
247,29 Other community location,D20 Disorderly and offensive conduct,8.0
248,29 Other community location,D30 Public nuisance offences,5.0
249,29 Other community location,E10 Justice procedures,7.0
250,29 Other community location,E20 Breaches of orders,41.0
251,29 Other community location,F90 Miscellaneous offences,21.0
252,29 Other community location,Other crimes against the person,11.0
253,31 Admin/professional,A20 Assault and related offences,114.0
254,31 Admin/professional,A50 Robbery,2.0
255,31 Admin/professional,"A70 Stalking, harassment and threatening behaviour",107.0
256,31 Admin/professional,A80 Dangerous and negligent acts endangering people,15.0
257,31 Admin/professional,B10 Arson,20.0
258,31 Admin/professional,B20 Property damage,521.0
259,31 Admin/professional,B30 Burglary/Break and enter,868.0
260,31 Admin/professional,B40 Theft,700.0
261,31 Admin/professional,B50 Deception,397.0
262,31 Admin/professional,C10 Drug dealing and trafficking,11.0
263,31 Admin/professional,C20 Cultivate or manufacture drugs,1.0
