Date,Total daily new,Total daily new,Daily increase
19-Sep-21,507,"28,475",507
18-Sep-21,535,"27,968",529
17-Sep-21,511,"27,439",497
16-Sep-21,514,"26,942",503
15-Sep-21,423,"26,439",410
14-Sep-21,445,"26,029",438
13-Sep-21,473,"25,591",463
12-Sep-21,392,"25,128",384
11-Sep-21,450,"24,744",447
10-Sep-21,334,"24,297",333
9-Sep-21,325,"23,964",323
8-Sep-21,221,"23,641",212
7-Sep-21,246,"23,429",242
6-Sep-21,246,"23,187",245
5-Sep-21,183,"22,942",183
4-Sep-21,190,"22,759",189
3-Sep-21,209,"22,570",209
2-Sep-21,176,"22,361",174
1-Sep-21,120,"22,187",116
31-Aug-21,76,"22,071",75
30-Aug-21,73,"21,996",70
29-Aug-21,93,"21,926",92
28-Aug-21,64,"21,834",63
27-Aug-21,79,"21,771",78
26-Aug-21,80,"21,693",79
25-Aug-21,45,"21,614",41
24-Aug-21,51,"21,573",47
23-Aug-21,71,"21,526",71
22-Aug-21,66,"21,455",66
21-Aug-21,61,"21,389",61
20-Aug-21,57,"21,328",57
19-Aug-21,57,"21,271",57
18-Aug-21,24,"21,214",23
17-Aug-21,25,"21,191",25
16-Aug-21,22,"21,166",22
15-Aug-21,25,"21,144",25
14-Aug-21,21,"21,119",21
13-Aug-21,15,"21,098",15
12-Aug-21,23,"21,083",27
11-Aug-21,20,"21,056",15
10-Aug-21,20,"21,041",20
9-Aug-21,11,"21,021",11
8-Aug-21,13,"21,010",13
7-Aug-21,29,"20,997",29
6-Aug-21,6,"20,968",6
5-Aug-21,6,"20,962",7
4-Aug-21,0,"20,955",0
3-Aug-21,5,"20,955",5
2-Aug-21,2,"20,950",2
1-Aug-21,4,"20,948",4
31-Jul-21,2,"20,944",2
30-Jul-21,3,"20,942",3
29-Jul-21,7,"20,939",7
28-Jul-21,8,"20,932",8
27-Jul-21,10,"20,924",10
26-Jul-21,12,"20,914",12
25-Jul-21,12,"20,902",11
24-Jul-21,12,"20,891",12
23-Jul-21,14,"20,879",14
22-Jul-21,28,"20,865",28
21-Jul-21,23,"20,837",23
20-Jul-21,15,"20,814",16
19-Jul-21,14,"20,798",13
18-Jul-21,18,"20,785",18
17-Jul-21,20,"20,767",20
16-Jul-21,10,"20,747",10
15-Jul-21,10,"20,737",10
14-Jul-21,2,"20,727",2
13-Jul-21,3,"20,725",3
12-Jul-21,0,"20,722",0
11-Jul-21,0,"20,722",0
10-Jul-21,3,"20,722",3
9-Jul-21,1,"20,719",1
