Month,Alpine,Ararat,Ballarat,Banyule,Bass,Baw,Bayside,Benalla,Boroondara,Brimbank,Campaspe,Cardinia,Casey,Central,Colac-Otway,Corangamite,Darebin,East,Frankston,Gannawarra,Glen,Glenelg,Golden,Greater,Greater.1,Greater.2,Greater.3,Hepburn,Hobsons,Horsham,Hume,Indigo,Interstate,Kingston,Knox,Latrobe,Loddon,Macedon,Manningham,Mansfield,Maribyrnong,Maroondah,Melbourne,Melton,Mildura,Mitchell,Moira,Monash,Moonee,Moorabool,Moreland,Mornington,Mount,Moyne,Murrindindi,Nillumbik,Northern,Overseas,Port,Pyrenees,Queenscliffe,South,Southern,Stonnington,Strathbogie,Surf,Swan,Unknown,Wangaratta,Warrnambool,Wellington,West,Whitehorse,Whittlesea,Wodonga,Wyndham,Yarra,Yarra.1,Yarriambiack,Grand Total
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3,0,1,6,50,2,5,21,3,52,26,2,5,31,0,1,1,24,2,29,1,36,0,0,8,9,48,9,2,12,2,24,0,4,16,10,5,1,6,11,2,8,7,39,17,3,6,8,29,31,1,38,47,6,1,0,13,3,6,34,0,0,3,1,75,2,5,2,0,2,4,6,1,10,13,1,22,19,18,1,949
4,0,0,2,32,2,0,7,0,16,7,1,6,28,1,0,0,9,0,8,0,7,0,2,0,6,18,3,0,1,1,10,0,35,10,3,2,3,2,12,1,1,4,24,8,2,2,1,17,10,0,15,8,0,0,1,9,0,0,13,0,0,2,0,12,0,0,1,1,0,1,6,0,11,8,0,5,8,4,0,409
5,0,4,1,7,0,0,2,0,6,37,2,4,16,0,0,0,7,0,3,1,5,0,0,0,3,2,2,0,6,0,24,0,18,0,5,0,0,2,1,0,5,2,8,29,0,0,0,5,2,2,15,2,0,0,1,6,0,0,1,0,0,0,0,2,0,0,0,5,0,0,0,0,2,14,0,22,4,4,0,289
6,1,0,0,6,0,1,3,0,6,59,0,5,38,0,0,0,18,0,2,0,8,0,0,2,10,3,3,0,8,0,119,0,18,6,6,3,0,0,5,0,17,3,18,27,0,7,0,4,36,0,45,2,0,0,0,3,0,0,6,0,0,0,0,7,0,0,1,7,0,0,0,0,1,30,0,27,11,1,0,583
7,0,0,18,236,4,4,60,1,96,937,1,58,341,1,66,1,213,2,51,0,64,7,11,18,188,85,3,1,153,9,770,0,13,77,60,4,1,21,76,5,278,43,545,449,0,39,0,109,467,12,499,23,2,1,2,68,0,1,84,0,0,6,1,78,0,2,1,31,0,1,2,0,90,575,1,1047,251,129,0,8493
8,0,3,31,93,2,6,152,0,76,833,3,114,486,0,38,1,371,3,127,0,79,12,6,72,264,203,30,0,243,0,610,1,15,171,77,35,0,25,52,2,248,44,262,552,1,33,0,150,199,22,396,98,1,0,5,43,0,0,134,3,1,1,0,72,0,5,1,42,0,8,3,0,74,524,0,979,140,90,0,8367
9,0,0,0,8,0,1,19,0,8,123,1,16,113,0,34,1,15,1,15,0,20,0,0,1,46,9,0,0,83,2,57,0,4,20,2,4,0,2,6,0,24,3,22,63,0,1,1,22,61,0,45,3,0,0,0,5,0,0,25,0,0,1,0,9,0,0,0,4,0,0,0,0,13,26,0,129,9,3,0,1080
10,0,0,0,18,0,0,1,0,3,3,0,0,8,0,0,0,16,0,7,0,5,0,0,0,13,0,3,0,11,0,19,0,0,0,2,0,0,0,1,0,0,0,2,5,0,5,0,14,1,0,2,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,8,2,0,11,1,0,0,167
12,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,31
