Location Subdivision,Incidents Recorded
11 Dwelling - private,122039.0
12 Dwelling  - non-private,4468.0
13 Grounds/surrounding land,44119.0
21 Education,5795.0
22 Health,3197.0
23 Religious,916.0
24 Public Transport,11162.0
25 Other Transport,13162.0
26 Justice,12968.0
27 Open Space,7448.0
28 Street/footpath,69180.0
29 Other community location,1150.0
31 Admin/professional,4271.0
32 Financial,1229.0
33 Retail,68802.0
34 Wholesale,296.0
35 Warehousing/storage,1775.0
36 Manufacturing,2893.0
37 Agricultural,1619.0
38 Recreational,12727.0
39 Other location,6866.0
